Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Sat Sep 19 15:28:03 2020, set6x6_k2_corner, LM, 6x6, 0, [(0 0)],2,  2, (4 0), [(0 2) (4 2)], 13, 0.000
Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 0, [(0 0)],2,  2, (4 0), [(0 2) (4 2)], 13, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 1, [(0 0)],2,  2, (1 2), [(0 4) (2 4)], 7, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 2, [(0 0)],2,  2, (0 3), [(0 5) (3 5)], 12, 0.002
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 3, [(0 0)],2,  2, (2 3), [(1 2) (5 4)], 12, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 4, [(0 0)],2,  2, (2 3), [(1 0) (3 1)], 11, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 5, [(0 0)],2,  2, (2 4), [(3 4) (5 3)], 13, 0.002
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 6, [(0 0)],2,  2, (0 5), [(2 4) (5 1)], 17, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 7, [(0 0)],2,  2, (3 2), [(1 3) (4 1)], 11, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 8, [(0 0)],2,  2, (2 2), [(3 5) (4 0)], 11, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 9, [(0 0)],2,  2, (4 5), [(2 5) (3 5)], 18, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 10, [(0 0)],2,  2, (0 2), [(4 3) (5 0)], 8, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 11, [(0 0)],2,  2, (4 4), [(4 5) (5 5)], 17, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 12, [(0 0)],2,  2, (5 0), [(2 5) (5 3)], 17, 0.001
Sat Sep 19 15:29:03 2020, set6x6_k2_corner, LM, 6x6, 13, [(0 0)],2,  2, (2 4), [(1 5) (3 0)], 13, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 14, [(0 0)],2,  2, (1 0), [(2 3) (5 3)], 6, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 15, [(0 0)],2,  2, (2 1), [(0 0) (5 3)], 9, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 16, [(0 0)],2,  2, (3 5), [(3 0) (5 0)], 20, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 17, [(0 0)],2,  2, (5 3), [(3 1) (4 2)], 17, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 18, [(0 0)],2,  2, (1 5), [(1 1) (4 4)], 17, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 19, [(0 0)],2,  2, (0 2), [(1 1) (5 3)], 7, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 0, [(0 0)],3,  2, (4 0), [(0 2) (2 4) (4 2)], 13, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 1, [(0 0)],3,  2, (1 2), [(0 4) (1 1) (2 4)], 7, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 2, [(0 0)],3,  2, (0 3), [(0 5) (1 4) (3 5)], 10, 0.003
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 3, [(0 0)],3,  2, (2 3), [(1 2) (3 5) (5 4)], 11, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 4, [(0 0)],3,  2, (2 3), [(1 0) (3 1) (4 1)], 11, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 5, [(0 0)],3,  2, (2 4), [(0 1) (3 4) (5 3)], 12, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 6, [(0 0)],3,  2, (0 5), [(0 2) (2 4) (5 1)], 15, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 7, [(0 0)],3,  2, (3 2), [(0 3) (1 3) (4 1)], 11, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 8, [(0 0)],3,  2, (2 2), [(1 2) (3 5) (4 0)], 8, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 9, [(0 0)],3,  2, (4 5), [(1 2) (2 5) (3 5)], 18, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 10, [(0 0)],3,  2, (0 2), [(0 0) (4 3) (5 0)], 6, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 11, [(0 0)],3,  2, (4 4), [(4 5) (5 2) (5 5)], 16, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 12, [(0 0)],3,  2, (5 0), [(2 5) (3 4) (5 3)], 17, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 13, [(0 0)],3,  2, (2 4), [(1 5) (2 2) (3 0)], 12, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 14, [(0 0)],3,  2, (1 0), [(2 3) (2 5) (5 3)], 6, 0.001
